20	11175	Agoo fm		96.9	Y'ate freee!	4700	1	3	Nkawkaw	P.O. Box NJ. 337 2nd Floor, Nana Wiafe Office Complex Nkawkaw- Kwahu Off Nkawkaw- Kumasi Highway Eastern Region Railways Junction	+233 343 122 138		arts/Agoo - 96.9.jpg	17	2017-05-16 09:47:54	2017-05-18 00:42:53
21	11178	Ahenfo FM	@ahenfieradio	98.1	Yee Wurawura	1098	1	6	Berekum, Brong Ahafo		+233509991333		arts/Ahenfo - 98.1.png	17	2017-05-16 10:10:19	2017-05-18 08:40:04
22		Ahotor FM		92..3	eye ahotor nkoaa	38483	1	1	Tema		+233 303402862		arts/Ahotor - 92..3.png	17	2017-05-16 10:15:17	2017-05-16 10:16:41
23	11157	Asempa fm	@asempa947	94.7	all talk all day	109300	1	1	Accra	4th Floor, Pyramid Hse, Ring Road Central Accra Ghana	+233 302 913025		arts/Asempa fm - 94.7.png	17	2017-05-16 10:25:02	2017-05-17 23:22:11
24	11173	ABC Radio		100.9		30933	1	1	Accra		+233 20 5241424		arts/ABC Radio - 100.9.jpg	17	2017-05-16 10:36:45	2017-05-18 00:33:08
25		A1 Radio		101.1	Beat then all	32333	1	8	Bolgatanga		+233208087136		arts/A1 Radio - 101.1.png	17	2017-05-16 11:26:08	2017-05-16 11:26:08
26	11156	Okay FM	@Okay1017fm	101.7	Everything is okay..!!	34567	1	1	Accra		+233 302-406767		arts/Okay - 101.7.jpg	17	2017-05-16 11:37:31	2017-05-22 21:50:21
27	11160	Angel FM		96.1		76576	1	10	Kumasi	Abrepo Rd, Kumasi, Ghana	+233 32 203 8845		arts/Angel FM - 96.1.png	17	2017-05-16 11:44:32	2017-05-17 23:28:28
28	11151	Peace FM	@peacefmonline	104.3	Station with a Vision	34632354	1	1	Accra	P. O. Box 17470 Mile 7 Junction Ghana	+233 302-406767		arts/Peace FM - 104.3.jpg	17	2017-05-16 11:48:05	2017-05-17 22:20:14
29		Kasapa		102.5	Agye Bebiaaaa	243134	1	1	Accra	P.O.Box CT 3032, Cantonments-Accra, Ghana			arts/Kasapa - 102.5.jpg	17	2017-05-16 11:53:01	2017-05-16 11:53:01
30		Hello FM		101.3		34535534	1	10	Kumasi	P. O. Box 17470 Mile 7 Junction Achimota - Accra Ghana	+233 302-406767		arts/Hello FM - 101.3.jpg	17	2017-05-17 16:03:10	2017-05-17 16:03:10
31	11165	Nhyira FM		104.5		321132332	1	10	Kumasi	NTR Block 38, Yaa Asantewaa Rd, Opposite SDA Church Amakom Kumasi Ghana	+233 51-21577-80		arts/Nhyira FM - 104.5.jpg	17	2017-05-17 16:06:40	2017-05-17 23:52:29
32	11168	Radio Gold FM		90.5	Your Power Station	2324234	1	1	Accra		+23321303491		arts/Radio Gold FM - 90.5.jpg	17	2017-05-17 16:11:52	2017-05-18 00:04:04
33	11162	Oman FM		107.1		11231321	1	1	Accra		+233 302 520293		arts/Oman FM - 107.1.png	17	2017-05-17 16:17:07	2017-05-17 23:37:12
34	11158	Anidaso FM		101.5		213133	1	6	Japekrom		+233 540 235 544		arts/Anidaso FM - 101.5.png	17	2017-05-17 16:19:58	2017-05-17 23:25:46
35	11161	Ashh FM		101.1		123132	1	10	Kumasi				arts/Ashh FM - 101.1.jpg	17	2017-05-17 16:22:21	2017-05-17 23:32:08
36	11164	Atlantis Radio		87.9		1231233	1	1	Accra		+233 34 202 2182		arts/Atlantis Radio - 87.9.jpg	17	2017-05-17 16:27:30	2017-05-17 23:44:19
37		Fiila FM		89.3		231323	1	7	Tamale				arts/Fiila FM - 89.3.png	17	2017-05-17 16:32:36	2017-05-17 16:32:36
38	11155	Melody FM	@911_melody	91.1	An exciting lifestyle	323234	1	4	Takoradi				arts/Melody FM - 91.1.png	17	2017-05-17 16:36:48	2017-05-17 22:49:26
39	11153	Happy FM	@HappyFMGhana	98.9	Anigye Nkoaa!!	1213332	1	1	Accra	P.O. Box AN12068, Accra-North, Accra, Ghana	+233 302 254856		arts/Happy FM - 98.9.jpg	17	2017-05-17 16:41:28	2017-05-17 22:43:20
40	11154	Hot FM		93.9	The Ultimate Music Station	234234	1	1	Accra	#3 Farrah Ave, Adabraka, Accra GH	233 302 254295		arts/Hot FM - 93.9.png	17	2017-05-17 16:45:10	2017-05-17 22:46:17
41	11170	Kapital Radio		97.1		234234	1	10	Kumasi	P.O.Box UP 675, Kumasi	+233 32 202 9010		arts/Kapital Radio - 97.1.jpg	17	2017-05-17 16:48:14	2017-05-18 00:22:02
42	11171	Luv FM	@luvfm995	99.5	Experience the Joy!!	64654	1	10	Kumasi	BLK 10P,TOP HIGH BUILDING,AYIGYA RESIDENTIAL AREA,NEAR BOMSO TRAFFIC LIGHTS.	0322083596		arts/Luv FM - 99.5.png	17	2017-05-17 16:52:13	2017-05-18 00:24:55
43		Metro FM		94.1	Believe in better	23423	1	10	Kumasi		+233 504521111		arts/Metro FM - 94.1.png	17	2017-05-17 16:56:10	2017-05-17 16:56:10
44	11172	Montie FM		100.1		223433	1	1	Accra	Barnor Junction, Latebiokorshe - Accra	+233 302 969193		arts/Montie FM - 100.1.png	17	2017-05-17 17:00:04	2017-05-18 00:27:37
45	11163	Neat FM	@neatfm1009	100.9	your station, our station	3423234	1	1	Accra		+233 302-406767		arts/Neat FM - 100.9.jpg	17	2017-05-17 17:03:08	2017-05-17 23:39:47
46		Obuoba FM		91.7		121232	1	3	Nkawkaw	Post Office Box 244 Nkawkaw	+233 27 722 2160		arts/Obuoba FM - 91.7.png	17	2017-05-17 17:06:34	2017-05-17 17:06:34
47	11166	Otec FM		102.9	The Pride of Ashanti	32331	1	10	Kumasi		+233 209662200		arts/Otec FM - 102.9.png	17	2017-05-17 17:09:56	2017-05-17 23:58:43
48	11167	Paragon fm		99.9	Always a part of you	23123	1	4	Takoradi	Paragon Media P. O. Box AX 582 Takoradi- Ghana	+233 31 202 3236		arts/Paragon fm - 99.9.png	17	2017-05-17 17:12:30	2017-05-18 08:18:45
49	11729	Radio XYZ		93.1		123132	1	1	Accra		+233 302507662		arts/Radio XYZ - 93.1.jpg	17	2017-05-17 17:17:44	2017-06-27 16:04:47
50	11169	Rainbow Radio		87.5		342323	1	1	Accra	123 Kwame Nkrumah Avenue Adabraka, Accra	+233 303-934647		arts/Rainbow Radio - 87.5.jpg	17	2017-05-17 17:20:36	2017-05-18 00:07:23
51		Time FM		96.9		32232	1	10	Obuasi		+233 322540510		arts/Time FM - 96.9.png	17	2017-05-17 17:33:16	2017-05-17 17:33:16
52	11152	Ultimate FM		106.9	experience it	23231	1	10	Kumasi	Hse No. 172, Addo Kuffour Road, Old Bekwai Road, Danyame Kumasi, Ghana	+233 32 208 5550		arts/Ultimate FM - 106.9.jpg	17	2017-05-17 17:36:56	2017-05-17 22:40:17
53		Zaa Radio		99.3		232134	1	7	Tamale		+233 372027729		arts/Zaa Radio - 99.3.png	17	2017-05-17 17:39:45	2017-05-17 17:39:45
54	11176	W FM		93.7		23234	1	9	Wa				arts/W FM - 93.7.png	17	2017-05-17 17:42:22	2017-05-18 08:26:13
55	11177	Uniiq FM		95.7		1231321	1	1	Accra	Kanda Ring Rd. Central Accra	+233 302 786567		arts/Uniiq FM - 95.7.png	17	2017-05-18 08:29:40	2017-05-18 08:31:35
56		Focus FM		94.3	Exploding the universe	765759	1	10	Kumasi				arts/Focus FM - 94.3.jpg	17	2017-05-22 21:11:43	2017-05-22 21:11:43
57		Anigye fm		102.5	Anigye Nkoaa!!	5465464	1	10	Kumasi				arts/Anigye fm - 102.5.jpg	17	2017-05-22 21:18:23	2017-05-22 21:18:23
58		Fox FM		97.9	The Ultimate Music Station	75676578	1	10	Kumasi				arts/Fox FM - 97.9.jpg	17	2017-05-22 21:23:27	2017-05-22 21:23:27
59		J Life FM		95.5		64458	1	6	Sunyani	Brong Ahafo			arts/J Life FM - 95.5.jpg	17	2017-05-22 21:45:20	2017-05-22 21:45:20
60		Volta Premier Fm		98.1		7785875	1	5	Volta				arts/Volta Premier Fm - 98.1.jpg	17	2017-05-22 22:05:30	2017-05-22 22:05:30
65	10214	Swiit FM		100.3	Swiit fm tag line	0	1	1	Accra	Swiit FM address	0249621938	1498804831	https://firebasestorage.googleapis.com/v0/b/qisimah-4403d.appspot.com/o/images%2F1498804831?alt=media&token=31f90541-4df1-4ec5-a8fe-9487e92f9f26	1	2017-06-30 06:45:47	2017-06-30 06:45:47
66	11833	Ark FM	@arkfm1071	107.1	Anigye fie	0	1	6	Sunyani		0352025070	1499129269	https://firebasestorage.googleapis.com/v0/b/qisimah-4403d.appspot.com/o/images%2F1499129269?alt=media&token=0475cdcc-7ebd-4c4b-a9ce-0479bdd1e783	1	2017-07-04 00:48:16	2017-07-04 00:48:16
67	11834	Focus FM		94.3	Performance is our speciality	0	1	10	Kumasi			1499129851	https://firebasestorage.googleapis.com/v0/b/qisimah-4403d.appspot.com/o/images%2F1499129851?alt=media&token=cec2e15e-8e08-4e60-9444-2c8f4eb7e269	1	2017-07-04 00:57:39	2017-07-04 00:57:39
68	11835	Empire	@Empire1027FM	102.7	Feel the difference	0	1	4	Takoradi			1499130070	https://firebasestorage.googleapis.com/v0/b/qisimah-4403d.appspot.com/o/images%2F1499130070?alt=media&token=44386116-c43d-4089-9b2d-1c862519f06b	1	2017-07-04 01:01:17	2017-07-04 01:01:17
69	11836	Y FM		97.9	Yern for more	0	1	4	Takoradi			1499130227	https://firebasestorage.googleapis.com/v0/b/qisimah-4403d.appspot.com/o/images%2F1499130227?alt=media&token=311f87b3-4423-4655-afd2-463968f58273	1	2017-07-04 01:05:05	2017-07-04 01:05:05
70	11837	Shaft FM		98.1		0	1	10	Obuasi					1	2017-07-04 01:16:00	2017-07-04 01:16:00
71	11863	Ghana Waves Radio		Online	Ghana's first online radio	0	1	1	Accra			1499256011	https://firebasestorage.googleapis.com/v0/b/qisimah-4403d.appspot.com/o/images%2F1499256011?alt=media&token=d6b87ca1-1838-4ba1-9263-1fff73e6b734	1	2017-07-05 12:00:16	2017-07-05 12:00:16
72	11939	Oliv Radio	@oliv_radio	Online		0	1	1	Dansoman		+233 244 859 876	1499586621	https://firebasestorage.googleapis.com/v0/b/qisimah-4403d.appspot.com/o/images%2F1499586621?alt=media&token=3bb6df74-2c7e-46c9-83ec-fe191d76ae0c	1	2017-07-09 07:50:45	2017-07-09 07:50:45
73	11940	Beach FM		105.5		0	1	4	Kweikuma					1	2017-07-09 12:00:12	2017-07-09 12:00:12
74	12049	Amanie FM		96.1	Gbaa me sane	0	1	1	Lartebiokorshie					1	2017-07-15 16:54:36	2017-07-15 16:54:36
75	12516	Homeboyz Radio	@HomeboyzRadio ‏	103.5	Tomorrows hits, today...	0	2	14	Kilimani	8th Floor Galana Plaza, Galana Road	0202692394	1502683590	https://firebasestorage.googleapis.com/v0/b/qisimah-4403d.appspot.com/o/images%2F1502683590?alt=media&token=2aa41031-b57d-4024-b1fd-e3c9ae0fe580	1	2017-08-14 04:06:51	2017-08-14 04:06:51
76	12517	Kiss FM	@Kiss100kenya	100.3	The #1 hit music station	0	2	14	Westlands			1502683902	https://firebasestorage.googleapis.com/v0/b/qisimah-4403d.appspot.com/o/images%2F1502683902?alt=media&token=26d090fb-9557-48fc-bbb6-b2c6d40c2977	1	2017-08-14 04:11:54	2017-08-14 04:11:54
77	12524	Zuria FM		88.7	Caring for the people	0	1	7	Tamale					1	2017-08-14 16:46:21	2017-08-14 16:46:21
78	12525	Shalom Radio		100.3		0	1	6	Berekum					1	2017-08-14 17:53:33	2017-08-14 17:53:33
79	12527	Eastern FM		105.1	Champion station first in the east best to the end	0	1	3	Koforidua			1502782727	https://firebasestorage.googleapis.com/v0/b/qisimah-4403d.appspot.com/o/images%2F1502782727?alt=media&token=72cc3ef6-463f-4851-abfc-a34168210fcd	1	2017-08-15 07:38:54	2017-08-15 07:38:54
80	12526	Bryt FM	@Bryt991FM	99.1	Our music, our joy!	0	1	3	Koforidua			1502782864	https://firebasestorage.googleapis.com/v0/b/qisimah-4403d.appspot.com/o/images%2F1502782864?alt=media&token=f914eee0-60a0-4763-bcaf-04d95b58f381	1	2017-08-15 07:41:07	2017-08-15 07:41:07
81	14254	Sky FM	@skyfm967	96.7	We make it happen	0	1	6	Sunyani		035 2024127	1506943388	https://firebasestorage.googleapis.com/v0/b/qisimah-4403d.appspot.com/o/images%2F1506943388?alt=media&token=a362f6c7-056d-4d13-ab2d-d4ff93ded562	1	2017-10-02 11:23:14	2017-10-02 11:23:14
82	14711	Time Fm		105.3		0	1	6	Akumadan					1	2017-10-30 11:31:44	2017-10-30 11:31:44
